en_US
ar_EG
es_XC
en_AU
de_DE
fr_XC
pt_BR
zh_CN
zh_XC
cs_CZ
da_DK
fi_FI
fr_FR
el_GR
en_GB
hu_HU
en_IN
id_ID
he_IL
it_IT
ja_JP
nl_NL
no_NO
pl_PL
pt_PT
ru_RU
sk_SK
ko_KR
es_ES
sv_SE
zh_TW
th_TH
